@relation segment

@attribute original numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {cell,back,giemsa}

@data
111.333336,189,127,150,198.666672,255,255,0,255,0,0.666667,255,255,113,194.333328,255,255,0,255,0,0.666667,255,255,122,146.333328,255,255,85,255,0,0.666667,255,255,0,139,48,255,255,255,255,169.333328,0.666667,255,255,0,0,159,16,113.666664,153.333328,255,118.666664,34.333332,0.666667,255,255,0,0,0,182.666672,7.333333,40,53,187,40.666668,12,0.666667,255,213.333328,0,0,0,0,161,180,143,255,12.333333,160.666672,cell
94.333336,173,138,145,151.666672,255,255,255,255,170,1,255,255,96.666664,145.333328,255,255,255,255,170,1,255,255,112,98.333336,255,255,255,255,255,1,255,255,0,138.333328,52.666668,255,255,255,255,242,1,255,255,0,0,160.333328,20.666666,109.333336,144.666672,255,117.333336,27.333334,0.666667,255,255,0,0,0,182,6,38,50,184.666672,38.333332,11.666667,0.666667,255,210.333328,0,0,0,0,161.666672,176.666672,146.666672,255,10.666667,163,cell
120.333336,180,180,205,225,255,170,170,255,21.333334,0.333333,255,255,122.666664,221,255,170,170,255,29.666666,0.333333,255,255,131.666672,180.666672,255,170,170,255,70,0.333333,255,255,3.333333,146.333328,80.666664,255,255,255,255,105.666664,0,255,255,4,0.666667,162,24.666666,88.666664,113.333336,170,99,20.333334,0.666667,255,255,1.333333,0,0,183,10,38,50,184.666672,38,12,0.666667,255,196,0,0,0,0,163,177.666672,146.333328,255,11.666667,164.666672,cell
152.666672,185,154,228,255,255,170,170,188.333328,0,0,255,255,152.666672,253.666672,255,170,170,201.333328,0,0,255,255,153.333328,184.333328,255,170,85,255,12.666667,0,255,255,3.666667,158,84,255,169.666672,85,255,5.666667,0,255,255,6.666667,3,165.333328,29,83.666664,97,170,88.666664,14,0.666667,255,255,7.666667,4,1,184,14,36,48,182.333328,36.666668,11.666667,0.666667,255,185.333328,6.666667,3.333333,0,0,166.666672,181.666672,152,255,10,166.666672,cell
209.666672,198,102,255,183,255,0,255,0,0,0,255,255,204.333328,179,255,0,255,0,0,0,255,255,179.333328,159.666672,255,0,255,0,0,0,255,255,25,161.333328,87.666664,235.666672,79,85,185.666672,1.666667,0,255,255,43,18,165,30.333334,90.333336,108.333336,170,94,25,0.666667,255,255,40,16,2.333333,184.666672,15,36.666668,49.666668,184,37,12.333333,0.666667,255,187,24.333334,9.666667,1.333333,0,169.333328,183.333328,156,255,9,170,cell
206.666672,197,107,255,102.666664,255,0,255,0,0,0,255,255,203.666672,100,255,0,255,0,0,0,255,255,186,109,255,0,255,0,0,0,255,255,17.666666,165.666672,81.333336,195,24.666666,170,51.666668,0,0.333333,255,255,38,20.333334,165,31.666666,94,113.333336,170,95,31.666666,0.666667,255,255,38.666668,21,4.333333,185.666672,16.333334,37,50,185.666672,37,13.333333,0.666667,255,187.333328,23.666666,11.666667,2,0,174,186.666672,160.666672,255,8,174.333328,cell
184.666672,196,116,233,125.333336,255,0,0,255,0,0,255,255,184,123.666664,255,0,85,255,0,0,255,255,178.666672,117.333336,255,0,85,143.666672,0,0,255,255,5.333333,167.666672,67,193.666672,8.666667,85,83.666664,0,0.333333,255,255,16.333334,11.333333,166,35,93.666664,115,170,93.666664,35.333332,0.666667,255,255,18.333334,14.333333,4.666667,186.666672,18,36.666668,49.666668,186.666672,36.333332,13.333333,0.666667,255,187,9.666667,6.333333,2,0,176.333328,190,164.333328,255,7.666667,175.666672,cell
176,197,113,220,107.333336,255,85,0,255,0,0,255,255,175.333328,106.666664,255,85,0,255,0,0,255,255,172,104.666664,208,30,0,222.666672,0,0,255,255,3,167.333328,52.333332,196,22.666666,0,149.666672,0,0.333333,255,255,7.666667,5.666667,168.666672,38.666668,91.666664,117.333336,170,91.333336,36.333332,0.666667,255,255,10.333333,8,2.666667,188.333328,19.666666,35,47.333332,186.666672,34.666668,12.666667,0.666667,255,186,3.666667,3.333333,1,0,177,188,164.333328,255,8,179,cell
160,189,120,211,202.666672,255,216,0,255,0,0,255,255,159,192.666672,255,222.333328,0,255,0,0,255,255,155.333328,133.666672,255,237.666672,85,255,26.666666,0,255,255,3.666667,160.333328,50.333332,252.666672,85,85,255,0,0.666667,255,255,1,0,165,32.333332,98.666664,122.666664,170,99,36.666668,0.666667,255,255,2.333333,0.666667,1.333333,186.666672,16.333334,39,52,191,40.333332,11.666667,0.666667,255,195.333328,0.666667,0,0,0,170.666672,179.666672,158.333328,255,7.333333,171.666672,cell
160,194,128,210,96,255,85,85,255,0,0,255,255,160.666672,95.666664,255,85,85,255,0,0,255,255,162,77.666664,255,85,0,255,0,0,255,255,0,162,27,243.333328,88,85,253,14.333333,0.666667,255,255,1.333333,2,168,37.666668,93,119,170,95.666664,32.333332,0.666667,255,255,2.333333,3,1.666667,188.333328,18,37.333332,49.333332,190,38.666668,10.666667,0.666667,255,193.333328,0.666667,1.333333,0,0,172.666672,181.666672,162,255,7,173.333328,cell
159.333328,194,126,208,124.333336,255,242,0,255,0,1.333333,255,255,158.666672,117.666664,255,241.666672,0,255,0,1.333333,255,255,157,78.666664,255,210.333328,0,255,0,0.333333,255,255,1.333333,160.666672,30.666666,248.666672,85,85,241,2.666667,0.333333,255,255,0,0,165.333328,31.333334,99.666664,124.666664,170,104,26.666666,0.666667,255,255,1.666667,1.333333,2,187,15.333333,41,52.666668,192.666672,43.333332,9,0.666667,255,206.333328,0,0,0.333333,0,170.666672,182,154.333328,255,10.333333,173.666672,cell
